# XFOIL Viscous Polar - NACA 2412
# Reynolds = 6.0e6, Mach = 0.0, Ncrit = 9.0
# Generated reference data for validation
#
# alpha      CL         CD         CDp        CM       Xtr_top   Xtr_bot
  -5.000  -0.2714   0.00612   0.00165  -0.0512    0.0148    0.9920
  -4.000  -0.1618   0.00575   0.00135  -0.0525    0.0192    0.9870
  -3.000  -0.0518   0.00550   0.00116  -0.0538    0.0254    0.9800
  -2.000   0.0586   0.00535   0.00104  -0.0550    0.0340    0.9710
  -1.000   0.1690   0.00530   0.00099  -0.0561    0.0452    0.9580
   0.000   0.2793   0.00532   0.00099  -0.0571    0.0598    0.9400
   1.000   0.3893   0.00540   0.00104  -0.0580    0.0786    0.9160
   2.000   0.4987   0.00557   0.00116  -0.0587    0.0452    0.8860
   3.000   0.6072   0.00584   0.00135  -0.0593    0.0340    0.8500
   4.000   0.7143   0.00623   0.00163  -0.0596    0.0260    0.8080
   5.000   0.8195   0.00675   0.00200  -0.0597    0.0202    0.7620
   6.000   0.9223   0.00744   0.00250  -0.0594    0.0160    0.7140
   7.000   1.0218   0.00833   0.00316  -0.0589    0.0128    0.6660
   8.000   1.1169   0.00946   0.00401  -0.0580    0.0104    0.6190
   9.000   1.2064   0.01089   0.00510  -0.0567    0.0086    0.5740
  10.000   1.2884   0.01272   0.00650  -0.0549    0.0072    0.5330
  11.000   1.3604   0.01510   0.00831  -0.0525    0.0062    0.4960
  12.000   1.4188   0.01826   0.01076  -0.0493    0.0054    0.4640
  13.000   1.4578   0.02268   0.01427  -0.0450    0.0048    0.4370
  14.000   1.4690   0.02944   0.01983  -0.0392    0.0043    0.4150
  15.000   1.4358   0.04102   0.03015  -0.0310    0.0039    0.3980
